incidentid,weaponcaliber,weapondetails,weapontype
19970220FLFIJ,Unknown,,Handgun
19970221NVRAL,9mm,,Handgun
19970317MIPED,Unknown,,Handgun
19970403CAMAM,,,No Data
19970428CAJOL,Unknown,,Handgun
19970430NYCIN,,,No Data
19970513FLNOM,.38 caliber,,Handgun
19970520OHDUD,.38 caliber,,Handgun
19970624ALJEM,.38 caliber,,Handgun
19971001MSPEP,.30-30,,Rifle
19971005OKMOO,9mm,,Handgun
19971010INWAG,Unknown,,Handgun
19971014TXLAG,Unknown,,Handgun
19971015FLLIP,.38 caliber,,Shotgun
19971020CAMCO,,,No Data
19971022CAJON,9mm,,Handgun
19971107FLRIJ,Unknown,,Handgun
19971113CACRS,Unknown,,Handgun
19971201KYHEW,.22 caliber,"5 firearms from neighbor, 2 shotguns from father ",Multiple Unknown
19971201KYHEW,Unknown,"5 firearms from neighbor, 2 shotguns from father ",Shotgun
19971201KYHEW,Unknown,"5 firearms from neighbor, 2 shotguns from father ",Shotgun
19971215ARSTS,.22 caliber,,Rifle
19980212NJHOH,.38 caliber,,Handgun
19980225MIRER,.22 caliber,,Rifle
19980227VAMAF,.22 caliber,,Rifle
19980324ARWEJ,Unknown,,Multiple Unknown
19980325CAFED,.22 caliber,,Handgun
19980325MICOC,12 gauge,,Shotgun
19980330NCGRC,Unknown,,Handgun
19980331WIOAO,Unknown,,Rifle
19980423CACUL,,,No Data
19980424PAPAE,.25 caliber,,Handgun
19980428CAPHP,Unknown,,Handgun
19980428WIPAP,.22 caliber,,Handgun
19980501FLNOM,,,No Data
19980501NYPUB,.357 caliber,,Handgun
19980519TNLIF,.22 caliber,,Rifle
19980521CARIR,.38 caliber,,Handgun
19980521ORTHS,9mm,,Handgun
19980521ORTHS,.22 caliber,,Handgun
19980521ORTHS,.22 caliber,,Rifle
19980521WAONO,9mm,,Handgun
19980527CAWAP,,,No Data
19980529FLSTF,9mm,,Handgun
19980615VAARR,.32 caliber,,Handgun
19980911CAHEG,,,No Data
19980930FLLEL,Unknown,,Handgun
19980930FLNOM,,,No Data
19981103PAMAP,Unknown,,Rifle
19981130NYHAH,.25 caliber,,Handgun
19981203INERG,Unknown,,Handgun
19981211INBEI,.22 caliber,,Handgun
19990108GACEC,Unknown,,Handgun
19990114NYHAN,Unknown,,Handgun
19990121TXRIN,9mm,,Handgun
19990211ILOME,.45 caliber,,Handgun
19990211MSJEP,,,No Data
19990304ILNIS,.357 caliber,,Handgun
19990416IDNON,Unknown,,Shotgun
19990420COCOL,9mm,TECH 9 Mini,Handgun
19990420COCOL,9mm,Hi-Point 995 Carbine,Rifle
19990420COCOL,12 gauge,Pump Action,Shotgun
19990420COCOL,12 gauge,Double Barrel (sawed off),Shotgun
19990422GAMAA,Unknown,,Handgun
19990422LASCB,.22 caliber,,Handgun
19990520GAHEC,.357 caliber,".357 pistol, .22 rifle",Handgun
19990520GAHEC,.22 caliber,".357 pistol, .22 rifle",Rifle
19990825GAJAM,,,No Data
